track_id,genre_top,genre_idx,split,duration_actual,rms_mean,file_size_kb
2,Hip-Hop,3,training,29.976598639455784,0.14521507918834686,938.220703125
5,Hip-Hop,3,training,30.002721088435376,0.14877364039421082,939.04296875
10,Pop,6,training,29.976598639455784,0.18817199766635895,704.140625
140,Folk,2,training,29.976598639455784,0.06920197606086731,469.2353515625
141,Folk,2,training,29.976598639455784,0.1013149544596672,469.6728515625
148,Experimental,1,validation,29.976598639455784,0.4795260429382324,938.2041015625
182,Rock,7,test,30.002721088435376,0.2750900983810425,939.4091796875
190,Folk,2,training,30.002721088435376,0.1329244077205658,939.0400390625
193,Folk,2,training,29.976598639455784,0.08332119137048721,938.2216796875
194,Folk,2,training,30.002721088435376,0.09644540399312973,939.0419921875
197,Folk,2,training,29.976598639455784,0.04562141373753548,938.2158203125
200,Folk,2,training,29.976598639455784,0.12094605714082718,938.2236328125
203,Folk,2,training,29.976598639455784,0.0877184048295021,938.2197265625
204,Folk,2,training,29.976598639455784,0.11723078042268753,938.216796875
207,Folk,2,training,29.976598639455784,0.047669220715761185,938.216796875
210,Folk,2,training,30.002721088435376,0.14652767777442932,939.0439453125
211,Folk,2,training,29.976598639455784,0.13830387592315674,938.21875
212,Folk,2,training,29.976598639455784,0.11120502650737762,938.220703125
213,Pop,6,training,29.976598639455784,0.06825069338083267,938.2294921875
255,Rock,7,training,29.976598639455784,0.14342418313026428,938.2255859375
256,Rock,7,training,29.976598639455784,0.2875344753265381,938.271484375
368,Rock,7,training,29.976598639455784,0.07582952827215195,938.568359375
424,Experimental,1,training,29.976598639455784,0.13372275233268738,938.6767578125
459,Rock,7,validation,30.002721088435376,0.36872074007987976,469.9765625
534,Folk,2,training,29.976598639455784,0.08785534650087357,469.5419921875
540,Folk,2,training,29.976598639455784,0.09339183568954468,469.5439453125
546,Folk,2,training,29.976598639455784,0.08548096567392349,469.546875
574,Rock,7,training,29.976598639455784,0.2750853896141052,880.02734375
602,Folk,2,validation,29.976598639455784,0.044568099081516266,586.466796875
615,Experimental,1,training,30.002721088435376,0.060295216739177704,939.0380859375
620,Folk,2,training,29.976598639455784,0.10727512836456299,938.548828125
621,Folk,2,training,29.976598639455784,0.1589042991399765,938.21484375
625,Folk,2,training,30.002721088435376,0.1860923171043396,939.03515625
666,International,5,training,30.002721088435376,0.14991159737110138,938.3681640625
667,International,5,training,29.976598639455784,0.12922997772693634,937.5810546875
676,Hip-Hop,3,training,29.976598639455784,0.2259083241224289,938.197265625
690,Rock,7,validation,29.976598639455784,0.27007684111595154,938.2470703125
694,Hip-Hop,3,training,29.976598639455784,0.15083254873752594,586.9365234375
695,Hip-Hop,3,training,29.976598639455784,0.1943342089653015,586.5537109375
704,International,5,test,29.976598639455784,0.2768099009990692,938.158203125
705,International,5,test,29.976598639455784,0.2969285249710083,938.16015625
706,International,5,test,30.002721088435376,0.2872281074523926,938.9775390625
707,International,5,test,29.976598639455784,0.3490111231803894,938.15625
708,International,5,test,29.976598639455784,0.29502999782562256,938.158203125
709,International,5,test,30.002721088435376,0.2251322865486145,704.59375
714,Folk,2,training,29.976598639455784,0.303232878446579,938.34375
715,Folk,2,training,29.976598639455784,0.1436072289943695,938.189453125
716,Folk,2,training,29.976598639455784,0.18193186819553375,938.1904296875
718,Folk,2,training,30.002721088435376,0.12418216466903687,939.0224609375
777,Rock,7,training,29.976598639455784,0.1079438328742981,938.2099609375
814,Folk,2,training,29.976598639455784,0.12176980823278427,938.23046875
821,Pop,6,training,30.002721088435376,0.1328994780778885,939.2822265625
822,Pop,6,training,29.976598639455784,0.18459708988666534,938.474609375
825,Rock,7,training,29.976598639455784,0.45337921380996704,468.4208984375
853,International,5,training,30.002721088435376,0.17353273928165436,939.3212890625
890,Folk,2,test,29.976598639455784,0.02191828191280365,938.2548828125
892,Folk,2,test,29.976598639455784,0.26974400877952576,938.2509765625
897,Experimental,1,training,29.976598639455784,0.20560124516487122,938.2568359375
993,Rock,7,validation,30.002721088435376,0.23565003275871277,939.1171875
995,Experimental,1,training,30.002721088435376,0.407470703125,939.1083984375
997,Experimental,1,training,30.002721088435376,0.35247763991355896,939.1015625
998,Experimental,1,training,29.976598639455784,0.3912171423435211,938.2744140625
1039,Rock,7,training,29.976598639455784,0.2724961042404175,938.1962890625
1040,Rock,7,training,29.976598639455784,0.3465476334095001,703.771484375
1066,Experimental,1,test,30.002721088435376,0.0699523314833641,704.66796875
1069,Experimental,1,test,29.976598639455784,0.17967088520526886,704.0595703125
1073,Experimental,1,test,30.002721088435376,0.18793576955795288,704.66015625
1075,Experimental,1,test,29.976598639455784,0.06783566623926163,704.0498046875
1082,International,5,training,30.002721088435376,0.14028038084506989,939.2607421875
1083,Experimental,1,training,29.976598639455784,0.2950536608695984,703.76171875
1087,Rock,7,validation,30.002721088435376,0.3293185234069824,939.33203125
1102,Rock,7,training,30.002721088435376,0.0921235978603363,939.1005859375
1193,Folk,2,training,30.002721088435376,0.17138975858688354,704.580078125
1195,Folk,2,training,30.002721088435376,0.21032626926898956,704.57421875
1196,Folk,2,training,30.002721088435376,0.19656161963939667,704.5712890625
1197,Folk,2,training,29.976598639455784,0.14222757518291473,703.955078125
1249,Experimental,1,test,29.976598639455784,0.5955729484558105,938.537109375
1259,Experimental,1,test,29.976598639455784,0.12519383430480957,938.541015625
1270,Rock,7,training,30.002721088435376,0.1925782412290573,469.634765625
1276,Experimental,1,training,30.002721088435376,0.24002304673194885,939.0478515625
1277,Experimental,1,training,29.976598639455784,0.15348540246486664,938.228515625
1278,Experimental,1,training,30.002721088435376,0.13319499790668488,939.3759765625
1417,Rock,7,training,29.976598639455784,0.14297820627689362,938.65234375
1427,Rock,7,training,30.002721088435376,0.11375676095485687,469.74609375
1443,Experimental,1,training,29.976598639455784,0.250893771648407,703.736328125
1482,Electronic,0,training,29.976598639455784,0.2787887752056122,938.1845703125
1510,Experimental,1,training,29.976598639455784,0.0281701497733593,938.236328125
1544,Folk,2,training,30.002721088435376,0.04075850173830986,939.0546875
1642,Pop,6,training,29.988979591836735,0.11918234825134277,938.4892578125
1644,Pop,6,training,29.988979591836735,0.23402100801467896,938.4951171875
1649,Pop,6,training,29.988979591836735,0.2912210524082184,938.49609375
1661,Pop,6,training,29.988979591836735,0.2727377116680145,938.513671875
1663,Pop,6,training,30.002721088435376,0.11591354012489319,704.626953125
1666,Pop,6,training,29.976598639455784,0.10734488070011139,704.033203125
1673,Experimental,1,training,30.002721088435376,0.02455749921500683,704.8251953125
1680,International,5,training,29.976598639455784,0.1265503615140915,938.2958984375
1681,International,5,training,29.976598639455784,0.15379810333251953,938.6806640625
1682,International,5,training,29.976598639455784,0.14218176901340485,938.681640625
1683,International,5,training,30.002721088435376,0.144452303647995,939.494140625
1684,International,5,training,29.976598639455784,0.19716033339500427,938.6826171875
1685,International,5,training,29.976598639455784,0.09956635534763336,938.6767578125
1686,International,5,training,29.976598639455784,0.14072099328041077,938.669921875
1687,International,5,training,29.976598639455784,0.11408799141645432,938.6806640625
1688,International,5,training,30.002721088435376,0.1785276234149933,939.4892578125
1689,International,5,training,30.002721088435376,0.1288853883743286,939.4873046875
1701,Folk,2,training,29.976598639455784,0.09190475195646286,938.244140625
1702,Folk,2,training,30.002721088435376,0.1490500271320343,939.0703125
1703,Folk,2,training,29.976598639455784,0.05736876651644707,938.2568359375
1704,Folk,2,training,30.002721088435376,0.1077389121055603,939.06640625
1706,Rock,7,training,29.976598639455784,0.2498803436756134,468.2314453125
1720,Rock,7,training,29.976598639455784,0.10830317437648773,703.8154296875
1732,Experimental,1,training,30.002721088435376,0.17347532510757446,939.4873046875
1733,Experimental,1,training,30.002721088435376,0.32122132182121277,939.4736328125
1735,Experimental,1,training,29.976598639455784,0.24225680530071259,938.6669921875
1736,Experimental,1,training,29.976598639455784,0.10610973834991455,938.662109375
1883,Rock,7,training,30.002721088435376,0.1629299521446228,586.97265625
1891,Rock,7,training,29.976598639455784,0.168979212641716,703.7578125
1893,Folk,2,validation,29.976598639455784,0.07385733723640442,452.6064453125
1924,Folk,2,training,29.976598639455784,0.3160986602306366,469.2568359375
1925,Folk,2,training,30.002721088435376,0.25927603244781494,469.7080078125
1929,Experimental,1,training,29.976598639455784,0.33615246415138245,586.9326171875
1930,Rock,7,training,29.976598639455784,0.22409586608409882,938.66796875
2012,Experimental,1,validation,30.002721088435376,0.2758353352546692,938.98046875
2096,Experimental,1,training,29.976598639455784,0.37860938906669617,938.5478515625
2097,Folk,2,training,30.002721088435376,0.17225898802280426,939.03125
2099,Pop,6,training,29.976598639455784,0.22439958155155182,704.041015625
3263,Folk,2,validation,29.976598639455784,0.13088050484657288,938.2900390625
3264,Folk,2,validation,29.976598639455784,0.10220324993133545,938.3359375
3265,Folk,2,validation,30.002721088435376,0.12259571999311447,939.150390625
3266,Folk,2,validation,30.002721088435376,0.038607507944107056,939.146484375
3270,Folk,2,training,29.976598639455784,0.08422061800956726,938.279296875
